model,task,signal,target,n,pearson_r,pearson_ci_low,pearson_ci_high,pearson_p,spearman_r,spearman_ci_low,spearman_ci_high,spearman_p,ordered_logit_coef,ordered_logit_p
14B,hotpotqa,head,direct_em,50,-0.1531,-0.3537,0.0489,0.2884,-0.1704,-0.3995,0.0632,0.2368,,
14B,hotpotqa,head,thought_gap_sign,50,0.0318,-0.3166,0.3792,0.8267,-0.0085,-0.3406,0.3171,0.9531,0.0462,0.8224
14B,hotpotqa,min,direct_em,50,-0.1288,-0.3688,0.1348,0.3727,-0.1087,-0.3523,0.1589,0.4523,,
14B,hotpotqa,min,thought_gap_sign,50,0.055,-0.275,0.3774,0.7044,0.0512,-0.2704,0.363,0.7241,0.1078,0.6979
32B,hotpotqa,head,direct_em,50,-0.1597,-0.3674,0.0546,0.2679,-0.1675,-0.4085,0.0748,0.245,,
32B,hotpotqa,head,thought_gap_sign,50,-0.1803,-0.4891,0.1482,0.2103,-0.2344,-0.5325,0.1084,0.1014,-0.219,0.184
32B,hotpotqa,min,direct_em,50,-0.0772,-0.3347,0.1925,0.594,-0.0537,-0.3244,0.2176,0.711,,
32B,hotpotqa,min,thought_gap_sign,50,-0.2172,-0.5032,0.094,0.1297,-0.2269,-0.5051,0.0977,0.1131,-0.3456,0.1177
V3,hotpotqa,head,direct_em,50,-0.1404,-0.3562,0.089,0.3308,-0.121,-0.3687,0.1287,0.4026,,
V3,hotpotqa,head,thought_gap_sign,50,-0.0853,-0.3468,0.1894,0.5558,-0.1293,-0.396,0.152,0.3709,-0.1025,0.4965
V3,hotpotqa,min,direct_em,50,-0.025,-0.2848,0.2555,0.8629,0.006,-0.2625,0.2775,0.9667,,
V3,hotpotqa,min,thought_gap_sign,50,-0.0778,-0.3456,0.1774,0.5914,-0.0874,-0.3587,0.1907,0.5463,-0.11,0.5786
14B,gsm8k,head,direct_em,50,-0.0077,-0.3603,0.2391,0.9575,0.0508,-0.2208,0.2933,0.7258,,
14B,gsm8k,head,thought_gap_sign,50,-0.0589,-0.2635,0.2185,0.6843,-0.0017,-0.2513,0.2532,0.9908,-0.062,0.678
14B,gsm8k,min,direct_em,50,0.024,-0.2717,0.2325,0.8686,-0.0139,-0.2477,0.2051,0.9237,,
14B,gsm8k,min,thought_gap_sign,50,0.0093,-0.2589,0.3017,0.9488,0.0184,-0.2539,0.2913,0.8989,0.0078,0.9474
32B,gsm8k,head,direct_em,50,-0.1059,-0.4498,0.23,0.4641,0.008,-0.2942,0.2752,0.9561,,
32B,gsm8k,head,thought_gap_sign,50,0.0287,-0.2459,0.3183,0.8432,0.1206,-0.1623,0.396,0.4043,0.0165,0.8833
32B,gsm8k,min,direct_em,50,-0.0386,-0.3508,0.2343,0.7903,-0.038,-0.3029,0.2202,0.7932,,
32B,gsm8k,min,thought_gap_sign,50,0.0435,-0.2164,0.2931,0.7642,0.0325,-0.2387,0.2844,0.8226,0.0259,0.7799
V3,gsm8k,head,direct_em,50,0.0697,-0.217,0.3012,0.6304,0.139,-0.1563,0.4133,0.3358,,
V3,gsm8k,head,thought_gap_sign,50,0.1116,0.0181,0.2229,0.4405,0.0263,-0.1584,0.2379,0.8563,0.3149,0.4584
V3,gsm8k,min,direct_em,50,0.1116,-0.1584,0.3448,0.4404,0.1808,-0.1139,0.4433,0.2091,,
V3,gsm8k,min,thought_gap_sign,50,0.0738,-0.1133,0.23,0.6103,0.0205,-0.2015,0.2617,0.8878,0.1274,0.6081
14B,math_hard,head,direct_em,99,-0.1657,-0.3389,0.0366,0.1011,-0.1693,-0.3429,0.0275,0.0939,,
14B,math_hard,head,thought_gap_sign,99,0.0977,-0.0976,0.2701,0.3361,0.0346,-0.1619,0.2261,0.7337,0.062,0.4468
14B,math_hard,min,direct_em,99,-0.1271,-0.288,0.068,0.2101,-0.0949,-0.2605,0.09,0.35,,
14B,math_hard,min,thought_gap_sign,99,0.1339,-0.0509,0.2948,0.1863,0.0669,-0.124,0.2544,0.5105,0.0903,0.2856
32B,math_hard,head,direct_em,99,-0.1341,-0.3243,0.0698,0.1857,-0.1551,-0.346,0.049,0.1252,,
32B,math_hard,head,thought_gap_sign,99,0.0432,-0.1527,0.237,0.6711,0.005,-0.1886,0.199,0.961,0.0299,0.7061
32B,math_hard,min,direct_em,99,-0.1628,-0.3516,0.038,0.1075,-0.2196,-0.4186,-0.0133,0.029,,
32B,math_hard,min,thought_gap_sign,99,0.1145,-0.087,0.2972,0.2591,0.0703,-0.1185,0.2583,0.4893,0.0887,0.277
V3,math_hard,head,direct_em,99,-0.1331,-0.3066,0.0549,0.189,-0.1082,-0.2883,0.0816,0.2864,,
V3,math_hard,head,thought_gap_sign,99,-0.1167,-0.3234,0.0912,0.25,-0.0802,-0.2919,0.1302,0.4301,-0.0937,0.2637
V3,math_hard,min,direct_em,99,-0.104,-0.2808,0.0767,0.3058,-0.0456,-0.2232,0.1423,0.6538,,
V3,math_hard,min,thought_gap_sign,99,-0.0361,-0.2256,0.1651,0.7231,-0.0088,-0.1983,0.184,0.9312,-0.0281,0.7381
